merchant_id,merchant_name,category,country,risk_score
M00090,Target,Fuel,Singapore,0.77
M00091,Delta,Travel,Canada,0.89
M00092,Target,Shopping,Canada,0.11
M00093,CVS,Hotels,Australia,0.58
M00094,Netflix,Airlines,Australia,0.1
M00095,Hilton,Shopping,Singapore,0.72
M00096,Uber,Groceries,Australia,0.51
M00097,Uber,Hotels,Australia,0.57
M00098,Costco,Entertainment,Australia,0.08
M00099,Delta,Dining,USA,0.02
M00100,Target,Airlines,UK,0.54
M00101,Hilton,Healthcare,Singapore,0.09
M00102,Best Buy,Shopping,USA,0.23
M00103,Hilton,Shopping,Australia,0.6
M00104,Walmart,Entertainment,Australia,0.88
M00105,Uber,Shopping,UK,0.4
M00106,Marriott,Dining,UK,0.82
M00107,Apple,Hotels,UK,0.62
M00108,Amazon,Entertainment,USA,0.33
M00109,Delta,Hotels,Australia,0.09
M00110,Netflix,Travel,Australia,0.07
M00111,Marriott,Airlines,Singapore,0.89
M00112,Apple,Electronics,USA,0.53
M00113,Walmart,Dining,UK,0.04
M00114,Hilton,Hotels,Australia,0.26
M00115,Target,Shopping,Singapore,0.17
M00116,Amazon,Fuel,UK,0.63
M00117,Best Buy,Electronics,Australia,0.61
M00118,Netflix,Entertainment,Australia,0.78
M00119,Walmart,Electronics,Singapore,0.66
M00120,Costco,Fuel,UK,0.67
M00121,Starbucks,Airlines,Singapore,0.44
M00122,Marriott,Hotels,Australia,0.68
M00123,Walmart,Travel,Canada,0.57
M00124,United,Fuel,USA,0.56
M00125,Delta,Entertainment,UK,0.87
M00126,United,Dining,USA,0.47
M00127,Delta,Hotels,UK,0.61
M00128,Costco,Entertainment,USA,0.69
M00129,Marriott,Groceries,Canada,0.28
M00130,Best Buy,Hotels,UK,0.86
M00131,Starbucks,Fuel,Australia,0.59
M00132,Apple,Shopping,Canada,0.43
M00133,Uber,Fuel,Australia,0.91
M00134,Apple,Shopping,UK,1.0
M00135,Amazon,Entertainment,Singapore,0.54
M00136,Uber,Shopping,Canada,0.19
M00137,Costco,Airlines,Singapore,0.85
M00138,Hilton,Electronics,Australia,0.84
M00139,Delta,Groceries,Singapore,0.93
M00140,Netflix,Airlines,Australia,0.99
M00141,CVS,Dining,Australia,0.12
M00142,Target,Entertainment,UK,0.33
M00143,Amazon,Groceries,Canada,0.32
M00144,Walmart,Travel,USA,0.72
M00145,Netflix,Travel,UK,0.57
M00146,Shell,Airlines,UK,0.38
M00147,Shell,Travel,Canada,0.43
M00148,Delta,Airlines,USA,0.69
M00149,Apple,Travel,Australia,0.73
M00150,Hilton,Travel,UK,0.48
M00151,Netflix,Hotels,Singapore,0.11
M00152,Starbucks,Entertainment,USA,0.44
M00153,Walmart,Electronics,USA,0.58
M00154,United,Airlines,USA,0.5
M00155,Starbucks,Entertainment,Canada,0.45
M00156,Uber,Dining,Singapore,0.58
M00157,Shell,Groceries,Canada,0.06
M00158,CVS,Shopping,Singapore,0.22
M00159,Hilton,Travel,Australia,0.67
M00160,Amazon,Dining,Singapore,0.68
M00161,Target,Airlines,UK,0.74
M00162,Marriott,Groceries,Australia,0.54
M00163,Walmart,Dining,Canada,0.69
M00164,Uber,Shopping,Canada,0.54
M00165,Netflix,Hotels,Australia,0.38
M00166,Apple,Airlines,Canada,0.51
M00167,Hilton,Travel,Australia,0.62
M00168,Marriott,Travel,USA,0.31
M00169,United,Healthcare,Singapore,0.31
M00170,Costco,Healthcare,UK,0.35
M00171,Walmart,Travel,Canada,0.69
M00172,Amazon,Airlines,UK,0.12
M00173,Amazon,Hotels,Singapore,0.46
M00174,Marriott,Entertainment,Singapore,0.16
M00175,CVS,Shopping,Canada,0.56
M00176,Costco,Fuel,Canada,0.5
M00177,Marriott,Groceries,Singapore,0.2
M00178,Costco,Groceries,Singapore,0.27
M00179,Uber,Airlines,USA,0.25
M00180,Netflix,Travel,Singapore,0.96
M00181,Walmart,Airlines,Australia,0.32
M00182,Marriott,Shopping,Australia,0.27
M00183,Apple,Healthcare,UK,0.17
M00184,Hilton,Hotels,UK,0.29
M00185,CVS,Fuel,Canada,0.63
M00186,Apple,Electronics,UK,0.26
M00187,Marriott,Shopping,Singapore,0.54
M00188,Marriott,Airlines,Canada,0.95
M00189,Apple,Dining,UK,0.02
M00190,Starbucks,Fuel,Canada,0.69
M00191,Amazon,Groceries,USA,0.81
M00192,CVS,Fuel,USA,0.58
M00193,Netflix,Healthcare,UK,0.9
M00194,Costco,Electronics,UK,0.96
M00195,Apple,Shopping,Canada,0.29
M00196,Amazon,Healthcare,Canada,0.27
M00197,CVS,Shopping,Australia,0.82
M00198,Marriott,Fuel,Australia,0.42
M00199,Target,Electronics,Singapore,0.74
M00200,Walmart,Entertainment,UK,0.93
M00201,Shell,Travel,Canada,0.21
M00202,Costco,Travel,Singapore,0.45
M00203,Apple,Healthcare,Singapore,0.03
M00204,Amazon,Hotels,USA,0.46
M00205,Amazon,Shopping,Canada,0.44
M00206,Starbucks,Fuel,Singapore,0.28
M00207,Netflix,Healthcare,Australia,0.11
M00208,Marriott,Entertainment,Canada,0.92
M00209,CVS,Dining,USA,0.96
M00210,Amazon,Healthcare,Singapore,0.98
M00211,United,Fuel,Canada,0.65
M00212,Marriott,Hotels,Singapore,0.89
M00213,Costco,Fuel,Canada,0.99
M00214,CVS,Entertainment,Singapore,0.48
M00215,Shell,Groceries,USA,0.12
M00216,Starbucks,Shopping,Canada,0.72
M00217,Marriott,Dining,UK,0.09
M00218,United,Groceries,UK,0.35
M00219,Uber,Entertainment,USA,0.28
M00220,Best Buy,Healthcare,Singapore,0.62
M00221,CVS,Travel,UK,0.24
M00222,Target,Travel,UK,0.93
M00223,CVS,Fuel,UK,0.72
M00224,Amazon,Groceries,Australia,0.97
M00225,Starbucks,Travel,USA,0.83
M00226,Shell,Hotels,Singapore,0.28
M00227,Hilton,Hotels,UK,0.02
M00228,Costco,Entertainment,Singapore,0.41
M00229,Marriott,Electronics,Canada,0.77
M00230,Starbucks,Airlines,Australia,0.47
M00231,Costco,Groceries,UK,0.3
M00232,Starbucks,Shopping,Canada,0.16
M00233,Marriott,Groceries,Canada,0.86
M00234,Amazon,Airlines,UK,0.87
M00235,Best Buy,Airlines,Singapore,0.43
M00236,Walmart,Dining,UK,0.88
M00237,Costco,Fuel,Canada,0.38
M00238,Hilton,Groceries,Canada,0.94
M00239,Netflix,Healthcare,Canada,0.07
M00240,Delta,Entertainment,USA,0.1
M00241,Starbucks,Dining,Canada,0.49
M00242,Amazon,Airlines,UK,0.38
M00243,Walmart,Dining,Canada,0.81
M00244,Walmart,Hotels,UK,0.62
M00245,United,Fuel,UK,0.1
M00246,United,Hotels,Australia,0.23
M00247,Target,Dining,Singapore,0.77
M00248,Walmart,Fuel,Australia,0.14
M00249,CVS,Travel,Canada,0.92
M00250,United,Electronics,UK,0.97
M00251,United,Airlines,UK,0.25
M00252,Walmart,Shopping,USA,0.46
M00253,CVS,Entertainment,Singapore,0.87
M00254,Marriott,Electronics,Canada,0.61
M00255,Apple,Fuel,Canada,0.97
M00256,Uber,Airlines,Singapore,0.77
M00257,Uber,Groceries,UK,0.14
M00258,Amazon,Shopping,Canada,0.27
M00259,Hilton,Entertainment,Singapore,0.5
M00260,Starbucks,Entertainment,Australia,0.14
M00261,United,Electronics,USA,0.57
M00262,Shell,Shopping,Australia,0.02
M00263,Marriott,Fuel,USA,0.9
M00264,Marriott,Airlines,Singapore,0.45
M00265,Apple,Travel,UK,0.49
M00266,Target,Hotels,Canada,0.88
M00267,Costco,Fuel,Singapore,0.76
M00268,Netflix,Shopping,USA,0.64
M00269,Apple,Dining,USA,0.48
M00270,CVS,Healthcare,Canada,0.31
M00271,Netflix,Travel,UK,0.89
M00272,Best Buy,Airlines,USA,0.84
M00273,Marriott,Fuel,USA,0.71
M00274,Netflix,Groceries,USA,0.81
M00275,Delta,Entertainment,USA,0.4
M00276,Uber,Travel,Canada,0.68
M00277,Netflix,Entertainment,Singapore,0.49
M00278,Delta,Electronics,UK,0.02
M00279,Starbucks,Hotels,Australia,0.11
M00280,United,Travel,USA,0.27
M00281,Walmart,Fuel,UK,0.33
M00282,Shell,Entertainment,Canada,0.94
M00283,Costco,Travel,USA,0.85
M00284,Shell,Shopping,Singapore,0.39
M00285,Delta,Airlines,UK,0.82
M00286,Costco,Groceries,Singapore,0.72
M00287,Best Buy,Fuel,Canada,0.29
M00288,Uber,Electronics,UK,0.13
M00289,Delta,Hotels,Australia,0.38
M00290,CVS,Electronics,UK,0.11
M00291,Amazon,Healthcare,Singapore,0.18
M00292,Best Buy,Groceries,USA,0.53
M00293,Apple,Healthcare,Australia,0.07
M00294,Best Buy,Groceries,UK,0.75
M00295,Costco,Hotels,Canada,0.31
M00296,Best Buy,Healthcare,USA,0.39
M00297,Best Buy,Dining,UK,0.69
M00298,CVS,Hotels,Canada,0.81
M00299,Marriott,Entertainment,Canada,0.09
M00300,United,Healthcare,Australia,0.52
M00301,Hilton,Fuel,Canada,0.32
M00302,Best Buy,Electronics,Australia,0.97
M00303,Shell,Dining,USA,0.51
M00304,Best Buy,Entertainment,USA,0.18
M00305,Marriott,Fuel,Australia,0.63
M00306,Starbucks,Dining,Canada,0.03
M00307,Marriott,Shopping,Singapore,0.22
M00308,Hilton,Airlines,Canada,0.35
M00309,Hilton,Healthcare,Singapore,0.25
M00310,Apple,Shopping,Singapore,0.29
M00311,Walmart,Groceries,Canada,0.26
M00312,Walmart,Entertainment,UK,0.93
M00313,Apple,Hotels,Canada,0.5
M00314,Walmart,Groceries,USA,0.83
M00315,CVS,Shopping,USA,0.63
M00316,Walmart,Dining,Singapore,0.73
M00317,Netflix,Fuel,Australia,0.68
M00318,Delta,Travel,Singapore,0.4
M00319,CVS,Entertainment,Australia,0.49
M00320,Apple,Healthcare,Australia,0.41
M00321,Marriott,Fuel,USA,0.71
M00322,Target,Dining,USA,0.45
M00323,Best Buy,Hotels,Canada,0.12
M00324,Hilton,Travel,USA,0.19
M00325,Target,Travel,Singapore,0.4
M00326,Walmart,Airlines,USA,0.19
M00327,Target,Healthcare,UK,0.44
M00328,Costco,Travel,Canada,0.93
M00329,United,Travel,USA,0.3
M00330,Delta,Fuel,Singapore,0.39
M00331,Uber,Dining,Singapore,0.98
M00332,Target,Entertainment,UK,0.77
M00333,Costco,Healthcare,UK,0.26
M00334,CVS,Travel,UK,0.66
M00335,Delta,Shopping,Australia,0.1
M00336,Walmart,Fuel,Singapore,0.99
M00337,CVS,Travel,USA,0.98
M00338,Starbucks,Groceries,Australia,0.61
M00339,Apple,Travel,USA,0.8
M00340,Delta,Electronics,UK,0.5
M00341,Walmart,Groceries,Canada,0.45
M00342,Best Buy,Airlines,Australia,0.95
M00343,Best Buy,Airlines,Canada,0.27
M00344,Starbucks,Entertainment,Australia,0.01
M00345,Target,Fuel,Canada,0.87
M00346,Netflix,Electronics,Canada,0.3
M00347,Uber,Electronics,Canada,0.15
M00348,Costco,Fuel,Canada,0.51
M00349,Target,Shopping,UK,0.21
M00350,Uber,Entertainment,Canada,0.92
M00351,Target,Entertainment,Canada,0.14
M00352,Costco,Groceries,UK,0.43
M00353,Delta,Electronics,UK,0.16
M00354,Amazon,Healthcare,UK,0.58
M00355,Best Buy,Fuel,USA,0.62
M00356,Apple,Groceries,Australia,0.29
M00357,Marriott,Shopping,USA,0.63
M00358,Target,Travel,UK,0.28
M00359,Uber,Groceries,Australia,0.4
M00360,Shell,Groceries,UK,0.02
M00361,Uber,Fuel,UK,0.53
M00362,CVS,Travel,UK,0.79
M00363,CVS,Hotels,UK,0.58
M00364,Shell,Travel,Singapore,0.5
M00365,Uber,Groceries,Canada,0.21
M00366,Amazon,Healthcare,USA,0.9
M00367,Walmart,Hotels,UK,0.3
M00368,Netflix,Groceries,USA,0.44
M00369,Starbucks,Fuel,Canada,0.51
M00370,Netflix,Electronics,Singapore,0.39
M00371,Apple,Fuel,Singapore,0.26
M00372,Amazon,Entertainment,UK,0.38
M00373,Amazon,Dining,UK,0.25
M00374,Target,Shopping,USA,0.37
M00375,CVS,Electronics,Australia,0.08
M00376,Netflix,Fuel,Australia,0.83
M00377,Costco,Healthcare,Canada,0.21
M00378,Target,Groceries,USA,0.78
M00379,Marriott,Dining,Singapore,0.26
M00380,Shell,Fuel,Singapore,0.66
M00381,Netflix,Dining,Canada,0.29
M00382,Marriott,Electronics,USA,0.85
M00383,United,Hotels,Singapore,0.96
M00384,Hilton,Healthcare,Singapore,0.74
M00385,Delta,Fuel,Canada,0.57
M00386,Costco,Hotels,USA,0.98
M00387,United,Travel,Singapore,0.57
M00388,Uber,Entertainment,USA,0.76
M00389,Amazon,Shopping,Australia,0.02
M00390,Netflix,Electronics,Australia,0.63
M00391,Netflix,Groceries,Singapore,0.19
M00392,Uber,Electronics,Singapore,0.3
M00393,Apple,Electronics,UK,0.59
M00394,Shell,Entertainment,Canada,0.6
M00395,Amazon,Airlines,Australia,0.37
M00396,Uber,Airlines,Australia,0.79
M00397,CVS,Electronics,UK,0.02
M00398,Starbucks,Shopping,UK,0.27
M00399,United,Hotels,USA,0.93
M00400,Shell,Dining,Singapore,0.84
M00401,CVS,Healthcare,USA,0.77
M00402,CVS,Travel,Canada,0.95
M00403,Amazon,Shopping,UK,0.95
M00404,Delta,Electronics,UK,0.92
M00405,Marriott,Entertainment,USA,0.32
M00406,Walmart,Dining,UK,0.64
M00407,Uber,Fuel,USA,0.63
M00408,Shell,Healthcare,Australia,0.24
M00409,United,Entertainment,Singapore,0.17
M00410,Amazon,Healthcare,Australia,0.67
M00411,Shell,Fuel,UK,0.03
M00412,Best Buy,Healthcare,Canada,0.47
M00413,Costco,Travel,UK,0.28
M00414,Best Buy,Electronics,Singapore,0.42
M00415,Best Buy,Hotels,USA,0.07
M00416,Hilton,Entertainment,Canada,0.83
M00417,Costco,Hotels,USA,0.69
M00418,Walmart,Fuel,Singapore,0.82
M00419,Delta,Dining,Australia,0.21
M00420,Best Buy,Electronics,Canada,0.25
M00421,Uber,Airlines,Australia,0.45
M00422,Delta,Healthcare,Singapore,0.9
M00423,Delta,Airlines,USA,0.64
M00424,United,Entertainment,UK,0.52
M00425,CVS,Entertainment,USA,0.17
M00426,Best Buy,Airlines,Singapore,0.36
M00427,Apple,Travel,USA,0.75
M00428,Target,Healthcare,Australia,0.01
M00429,Hilton,Groceries,USA,0.58
M00430,Amazon,Healthcare,UK,0.52
M00431,Walmart,Healthcare,Canada,0.83
M00432,Best Buy,Travel,Singapore,0.61
M00433,Best Buy,Shopping,Australia,0.37
M00434,Amazon,Airlines,UK,0.82
M00435,Costco,Electronics,UK,0.76
M00436,Netflix,Dining,UK,0.5
M00437,United,Fuel,Australia,0.03
M00438,Delta,Travel,USA,0.6
M00439,Costco,Healthcare,USA,0.36
M00440,Hilton,Healthcare,UK,0.94
M00441,Amazon,Electronics,USA,0.01
M00442,Delta,Electronics,UK,0.34
M00443,Apple,Entertainment,USA,0.02
M00444,Starbucks,Hotels,USA,0.39
M00445,Target,Hotels,USA,0.57
M00446,Uber,Fuel,USA,0.45
M00447,Amazon,Airlines,Australia,0.11
M00448,Marriott,Healthcare,Singapore,0.5
M00449,Shell,Entertainment,Canada,0.32
M00450,United,Hotels,Canada,0.3
M00451,Netflix,Fuel,UK,0.11
M00452,Best Buy,Airlines,USA,0.14
M00453,Hilton,Travel,USA,0.98
M00454,Shell,Groceries,Canada,0.17
M00455,Starbucks,Dining,USA,0.28
M00456,Costco,Fuel,Australia,0.95
M00457,Uber,Groceries,Singapore,0.24
M00458,CVS,Groceries,Australia,0.55
M00459,Apple,Shopping,Canada,0.82
M00460,Starbucks,Groceries,Australia,0.6
M00461,United,Shopping,Singapore,0.15
M00462,Hilton,Entertainment,USA,0.58
M00463,Netflix,Electronics,Singapore,0.95
M00464,Delta,Airlines,UK,0.16
M00465,Costco,Travel,UK,0.75
M00466,CVS,Healthcare,USA,0.35
M00467,Hilton,Shopping,Singapore,0.5
M00468,Amazon,Airlines,Singapore,0.68
M00469,Apple,Dining,Canada,0.73
M00470,Costco,Travel,UK,0.26
M00471,Best Buy,Hotels,USA,0.48
M00472,Target,Airlines,UK,0.74
M00473,Target,Electronics,Canada,0.83
M00474,Starbucks,Fuel,UK,0.71
M00475,Apple,Shopping,Canada,0.14
M00476,Marriott,Dining,Singapore,0.38
M00477,Starbucks,Airlines,Singapore,0.17
M00478,Starbucks,Fuel,Singapore,0.44
M00479,Marriott,Airlines,USA,0.61
M00480,Costco,Healthcare,Singapore,0.97
M00481,United,Healthcare,Australia,0.51
M00482,United,Electronics,USA,0.3
M00483,Amazon,Shopping,Singapore,0.53
M00484,Target,Travel,Singapore,0.13
M00485,United,Shopping,USA,0.42
M00486,Marriott,Groceries,UK,0.77
M00487,Uber,Airlines,Singapore,0.66
M00488,Costco,Hotels,Canada,0.62
M00489,Shell,Travel,UK,0.65
M00490,Marriott,Hotels,Singapore,0.04
M00491,Best Buy,Groceries,Canada,0.38
M00492,CVS,Hotels,UK,0.79
M00493,Target,Airlines,Australia,0.39
M00494,Starbucks,Travel,Australia,0.43
M00495,Netflix,Electronics,Canada,0.25
M00496,Target,Travel,Australia,0.0
M00497,Shell,Airlines,Canada,0.86
M00498,Uber,Electronics,UK,0.91
M00499,Hilton,Healthcare,Singapore,0.67
M00500,Target,Shopping,USA,0.86
M00501,Costco,Groceries,Singapore,0.71
M00502,Uber,Healthcare,Australia,0.67
M00503,Walmart,Travel,Singapore,0.34
M00504,Shell,Shopping,Singapore,0.9
M00505,United,Dining,Australia,0.59
M00506,Walmart,Hotels,USA,0.48
M00507,Apple,Shopping,UK,0.26
M00508,United,Groceries,USA,0.89
M00509,United,Dining,Singapore,0.9
M00510,Delta,Airlines,Singapore,0.07
M00511,Target,Travel,Canada,0.3
M00512,Delta,Electronics,Australia,0.69
M00513,Costco,Groceries,UK,0.19
M00514,Best Buy,Fuel,Singapore,0.18
M00515,CVS,Airlines,Singapore,0.36
M00516,Marriott,Entertainment,USA,0.75
M00517,Costco,Entertainment,Canada,0.92
M00518,Best Buy,Hotels,Canada,0.29
M00519,Apple,Electronics,Singapore,0.35
M00520,CVS,Dining,Canada,0.09
M00521,Marriott,Entertainment,Australia,0.08
M00522,CVS,Groceries,Singapore,0.17
M00523,Netflix,Electronics,USA,0.2
M00524,Walmart,Electronics,Singapore,0.51
M00525,CVS,Fuel,Singapore,0.05
M00526,CVS,Healthcare,Singapore,0.82
M00527,United,Groceries,Australia,0.49
M00528,CVS,Groceries,Singapore,0.6
M00529,Apple,Healthcare,Singapore,0.67
M00530,Amazon,Electronics,Canada,0.37
M00531,Amazon,Airlines,Canada,0.86
M00532,Target,Groceries,Canada,1.0
M00533,Uber,Fuel,Australia,0.47
M00534,Apple,Entertainment,Australia,0.13
M00535,Walmart,Entertainment,Singapore,0.21
M00536,Best Buy,Healthcare,Canada,0.17
M00537,Uber,Electronics,Singapore,0.67
M00538,Costco,Fuel,Singapore,0.2
M00539,Shell,Electronics,Canada,0.59
M00540,Best Buy,Electronics,Canada,0.46
M00541,Target,Electronics,UK,0.18
M00542,Starbucks,Entertainment,UK,0.98
M00543,Starbucks,Dining,Canada,0.64
M00544,Starbucks,Electronics,Canada,0.83
M00545,Netflix,Hotels,UK,0.44
M00546,Shell,Groceries,UK,0.22
M00547,Starbucks,Healthcare,Singapore,0.12
M00548,Starbucks,Fuel,Canada,0.96
M00549,Target,Groceries,Canada,0.74
M00550,Uber,Airlines,Singapore,0.2
M00551,CVS,Shopping,Canada,0.67
M00552,Costco,Electronics,Singapore,0.54
M00553,Target,Healthcare,Canada,0.78
M00554,Shell,Shopping,USA,0.73
M00555,Costco,Entertainment,Canada,0.69
M00556,CVS,Shopping,Singapore,0.33
M00557,Target,Airlines,UK,0.4
M00558,Best Buy,Airlines,Australia,0.93
M00559,Starbucks,Airlines,Canada,0.25
M00560,CVS,Entertainment,Singapore,0.45
M00561,Walmart,Entertainment,UK,0.36
M00562,Netflix,Airlines,Singapore,0.28
M00563,Walmart,Hotels,USA,0.44
M00564,Costco,Shopping,Australia,0.57
M00565,Costco,Shopping,Australia,0.35
M00566,Best Buy,Travel,Canada,0.88
M00567,Uber,Shopping,Australia,0.72
M00568,Marriott,Healthcare,Australia,0.53
M00569,Amazon,Shopping,USA,0.48
M00570,Shell,Entertainment,Singapore,0.81
M00571,United,Travel,USA,0.76
M00572,Amazon,Travel,Singapore,0.98
M00573,Marriott,Entertainment,Australia,0.38
M00574,Delta,Electronics,Canada,0.81
M00575,Netflix,Hotels,Singapore,0.23
M00576,Uber,Travel,Singapore,0.86
M00577,Costco,Entertainment,Canada,0.55
M00578,Shell,Airlines,USA,0.55
M00579,Netflix,Fuel,USA,0.53
M00580,Best Buy,Fuel,Australia,0.69
M00581,Starbucks,Fuel,UK,0.81
M00582,Marriott,Dining,Australia,0.59
M00583,Walmart,Airlines,Singapore,0.86
M00584,Walmart,Dining,Singapore,0.74
M00585,Amazon,Entertainment,Singapore,0.48
M00586,Target,Fuel,UK,0.59
M00587,Costco,Dining,Canada,0.18
M00588,Netflix,Airlines,UK,0.37
M00589,Hilton,Dining,Australia,0.18
M00590,Starbucks,Groceries,Canada,0.19
M00591,Target,Healthcare,USA,0.22
M00592,Amazon,Travel,Singapore,0.6
M00593,Marriott,Entertainment,UK,0.29
M00594,Uber,Airlines,Australia,0.61
M00595,Netflix,Hotels,UK,0.8
M00596,CVS,Groceries,Singapore,0.3
M00597,Netflix,Dining,Singapore,0.42
M00598,Target,Travel,Canada,0.97
M00599,United,Dining,Australia,0.74
M00600,Target,Dining,Australia,0.03
M00601,Netflix,Airlines,Canada,0.3
M00602,Shell,Entertainment,Canada,0.32
M00603,Delta,Shopping,Australia,0.84
M00604,Netflix,Entertainment,UK,0.5
M00605,Delta,Dining,USA,0.67
M00606,Delta,Shopping,Canada,0.29
M00607,Shell,Airlines,Canada,0.91
M00608,Uber,Airlines,UK,0.41
M00609,Marriott,Entertainment,Singapore,0.51
M00610,Delta,Groceries,Australia,0.62
M00611,Shell,Shopping,Singapore,0.45
M00612,Uber,Groceries,Canada,0.38
M00613,Starbucks,Dining,Australia,0.09
M00614,CVS,Hotels,Canada,0.18
M00615,Marriott,Entertainment,Singapore,0.94
M00616,Walmart,Electronics,Singapore,0.71
M00617,Target,Healthcare,USA,0.15
M00618,Marriott,Fuel,UK,0.53
M00619,Target,Travel,USA,0.17
M00620,Marriott,Airlines,Canada,0.38
M00621,Shell,Hotels,UK,0.41
M00622,Best Buy,Electronics,UK,0.19
M00623,Hilton,Fuel,USA,0.7
M00624,Walmart,Travel,USA,0.22
M00625,Costco,Fuel,USA,0.49
M00626,CVS,Entertainment,Singapore,0.13
M00627,Netflix,Airlines,Australia,0.0
M00628,Target,Airlines,UK,0.96
M00629,Uber,Electronics,Singapore,0.97
M00630,Marriott,Healthcare,Canada,0.05
M00631,Walmart,Entertainment,USA,0.1
M00632,Apple,Travel,Australia,0.69
M00633,CVS,Hotels,USA,0.26
M00634,Marriott,Fuel,Australia,0.54
M00635,Walmart,Airlines,Australia,0.64
M00636,Shell,Travel,Canada,0.23
M00637,CVS,Airlines,Australia,1.0
M00638,Shell,Groceries,Canada,0.21
M00639,United,Shopping,Canada,0.95
M00640,Walmart,Entertainment,UK,0.26
M00641,Delta,Shopping,Canada,0.68
M00642,Netflix,Entertainment,Canada,0.1
M00643,Costco,Healthcare,Singapore,0.15
M00644,Walmart,Groceries,Australia,0.12
M00645,Netflix,Airlines,USA,0.44
M00646,Netflix,Fuel,Canada,0.78
M00647,Costco,Fuel,Australia,0.79
M00648,Target,Shopping,USA,0.57
M00649,CVS,Travel,Canada,0.57
M00650,Amazon,Shopping,Canada,0.22
M00651,Starbucks,Electronics,UK,0.73
M00652,Delta,Travel,Singapore,0.33
M00653,Uber,Dining,USA,0.73
M00654,Target,Entertainment,Canada,0.69
M00655,Apple,Dining,UK,0.73
M00656,Costco,Dining,USA,0.67
M00657,Hilton,Shopping,Singapore,0.61
